B25470766;R1-325;EMPRESA MUNICIPAL DE DISTRIBUCIÓ D'ENERGIA ELÈCTRICA D'ALMENAR, SLU
B16235947;R1-329;DISTRIBUCIONES ELECTRICAS TALAYUELAS SL
B24368268;R1-206;DISTRIBUCIONES ELÉCTRICAS DEL ERIA, SL
B24370272;R1-185;DISTRIBUCIONES DE ENERGÍA ELÉCTRICAS DEL NOROESTE SL
B17102534;R1-099;ELECTRICITAT LA AURORA, SLU
B09386012;R1-298;DISTRIBUIDORA DE ENERGIA ELECTRICA ENERQUINTA SL
B09349499;R1-208;ENERFRIAS SLU
B64376395;R1-336;CATENERIBAS SLU
A09023359;R1-193;ELECTRA VALDIVIELSO SAU
B25468042;R1-038;ELECTRICA SEROSENSE DISTRIBUIDORA SL
B15352362;R1-070;ELECTRA DE CABALAR S.L.
B94148418;R1-040;SOCIEDAD ELECTRICISTA DE TUI DISTRIBUIDORA SLU
B25672692;R1-347;ELÈCTRICA SALÀS DE PALLARS, SLU
B25025164;R1-065;ELÉCTRICA DE GUIXÉS, SL
B22322986;R1-349;LA CONSTANCIA AREN SL
A36022077;R1-041;ELECTRA ALTO MIÑO SA
B25267220;R1-279;ELECTRICA DEL MONTSEC SL
B11395175;R1-342;ELECTRICA DE LÍJAR SL
B06184790;R1-164;DISTRIBUCIÓN DE ELECTRICIDAD VALLE DE SANTA ANA, SL
B98210313;R1-150;COELCA REDES, S.L.U.
B14280713;R1-114;ELÉCTRICA HERMANOS CASTRO RODRIGUEZ S.L.
B12769469;R1-340;ELECTRICA COSTUR,SL
B09306267;R1-123;ELECTRA ALVARO DE BENITO SL
B47456421;R1-259;MUNICIPAL ELECTRICA VILORIA SL
B07751878;R1-364;SAMPOL ENERGIA SL
A15021587;R1-042;UNION DISTRIBUIDORES ELECTRICIDAD SA
B25408733;R1-236;EL PROGRESO DEL PIRINEO, S.L.
B37326535;R1-188;ELECTRICIDAD LA ASUNCION SL
A44138378;R1-179;ARAGONESA DE ACTIVIDADES ENERGETICAS, S.A.
A47408851;R1-192;ELECTRO DISTRIBUIDORA CASTELLANO-LEONESA SA
B12942397;R1-017;MAESTRAZGO DISTRIBUCION ELECTRICA SL
B33089202;R1-172;SUMINISTROS ELECTRICOS AMIEVA SL
B22258123;R1-361;DISTRIBUCIONES ELECTRICAS GISTAIN S.L.
B47447875;R1-043;ANSELMO LEON-DISTRIBUCION SL
B05165394;R1-261;ELECTRA SAN BARTOLOME SL
B47413232;R1-284;AFRODISIO PASCUAL ALONSO SL
A25002791;R1-202;MOLINO VIEJO DE VILALLER, S.A.
B02229144;R1-197;EBROFANAS . SL
B15644172;R1-204;ELECTRA DE SANTA COMBA SL
B06278469;R1-031;DISTRIBUIDORA DE ENERGIA ELECTIRCA ENRIQUE GARCIA SERRANO SL
B37420999;R1-216;DISTRIBUIDORA ELECTRICA NAVASFRIAS SL
B25391145;R1-274;ELEC VALL DE BOI
B02308302;R1-291;EMPRESA ELECTRICA DE JORQUERA SL
A58382631;R1-107;DISTRIBUIDORA DE ENERGÍA ELÉCTRICA DEL BAGES, S.A.
A17036369;R1-176;ELECTRICA DE JAFRE
B25479346;R1-305;SOCIETAT MUNICIPAL DE DISTRIBUCIO ELECTRICA DE LLAVORSI,SL
B22247191;R1-362;ENERGÍAS DEL ZINQUETA S.L.
A08049306;R1-019;ELECTRICA DEL EBRO SA
B02375335;R1-330;EMPRESA ELECTRICA DEL CABRIEL SL
B34173757;R1-265;HEREDEROS DE MARIA ALONSO CALZADA-VENTADE BAÑOS SL
B24299851;R1-103;SAN CIPRIANO DE RUEDA DISTRIBUCIÓN SL
B81997439;R1-058;HIDROELECTRICA DE SILLEDA SL
A15011661;R1-072;ELECTRA DEL NARAHIO SA
B60375615;R1-218;HIDROELECTRICA DE CATALUNYA, S.L.
A78302247;R1-115;HIDROELECTRICA VEGA SA
A12567384;R1-300;ELÉCTRICAS DE VILLAHERMOSA,S.A.
B11719911;R1-272;LUZ ELECTRICA DE ALGAR SL
B62781455;R1-304;HIDROFLAMICELL, S.L.
B06337919;R1-264;ELECTRICA SANTA MARTA VILLALBA SL
B25583147;R1-337;SOCIETAT MUNICIPAL DE DISTRIBUCIÓ ELECTRICA DE TIRVIA, S.L.
A48010433;R1-120;SOCIEDAD DISTRIBUIDORA DE ELECTRICIDAD DE ELORRIO SA
B09570391;R1-090;ADURIZ DISTRIBUCION SL
B06365399;R1-345;ALCONERA DE ELECTRICIDAD SL
B11026085;R1-191;ALSET ELÉCTRICA, S.L.
B13277868;R1-184;ANTOLINA RUIZ RUIZ S.L.UNIPERSONAL
A01312479;R1-302;ARAMAIOKO ARGINDAR BANATZAILEA SA
A31000094;R1-083;BERRUEZA SA
B41021049;R1-084;BLAZQUEZ SL
B02246833;R1-307;CENTRAL ELECTRICA DE POZO LORENTE SL
B41152166;R1-210;CENTRAL ELECTRICA SAN ANTONIO SL
A36000016;R1-022;CENTRAL ELECTRICA SESTELO Y COMPAÑIA SA
B13267471;R1-180;C. MARCIAL CHACON E HIJOS, S.L.
B02262186;R1-253;COMPAÑIA ELECTRICA DE FEREZ SL
B53255360;R1-162;DELGICHI . SL
B14427686;R1-106;DIELENOR SL
B19154707;R1-087;DIST. ELECTRICA LAS MERCEDES S.L.
B53267050;R1-240;DISTRIBUCION DE ENERGIA ELECTRICA DE PARCENT SL
B18472902;R1-288;DISTRIBUCIONES ALNEGA SL
